bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as,label,office_count_500m_normalized,retail_count_500m_normalized,bank_count_500m_normalized,commercial_score,bus_stop_count_500m_normalized,parking_space_count_500m_normalized,accessibility_score,college_count_500m_normalized,school_count_500m_normalized,education_score,hospital_count_500m_normalized,clinic_count_500m_normalized,health_activity_score,recreation_count_500m_normalized,cinema_count_500m_normalized,museum_count_500m_normalized,attraction_score,temple_count_500m_normalized,cultural_activity_score,nearest_restaurant_m_normalized,market_gap_score,competitor_count_500m_normalized,avg_restaurant_rating_500m_normalized,avg_review_ratings_500m_normalized,competition_pressure_score,commercial_score_contribution,accessibility_score_contribution,education_score_contribution,health_activity_score_contribution,attraction_score_contribution,cultural_activity_score_contribution,market_gap_score_contribution,competition_pressure_score_contribution,feasibility_score,cluster,feasibility_label
20,2,1,22,18,5,1,65,13,15,58,17,9,18,4.438888888888889,22.944444444444443,102.74377852844326,ChIJT7TgRXEZ6zkRDjURef5wPTg,27.6938244,85.3292669,Baneshwor,family_restaurant,restaurant,1,0.6310679611650486,0.3670886075949367,0.21052631578947367,0.4028942948498197,0.18181818181818182,0.5652173913043478,0.3735177865612648,0.28125,0.2833333333333333,0.28229166666666666,0.16129032258064516,0.2894736842105263,0.22538200339558573,0.19480519480519481,0.14285714285714285,0.027777777777777776,0.12181337181337182,0.08653846153846154,0.08653846153846154,0.023809294024417702,0.023809294024417702,0.8536585365853658,0.14027777777777772,0.985071806500378,0.6596693736211738,0.037302945603057885,0.06052918252297789,0.028118417037642198,0.025825012755194183,0.019754740872725943,0.017583193423845733,0.0038329769284111163,0.0031846121305592876,19.613108127441425,2,Moderate
22,0,0,43,22,10,1,67,4,15,58,38,12,27,4.25925925925926,97.44444444444444,33.55483773230503,ChIJaZxtbJkZ6zkRjJJmY9US5w0,27.6983381,85.3385308,Baneshwor,fast_food_restaurant,restaurant,1,0.6504854368932039,0.3670886075949367,0.23157894736842105,0.41638433061885394,0.0,0.17391304347826086,0.08695652173913043,0.34375,0.6333333333333333,0.48854166666666665,0.3225806451612903,0.5657894736842105,0.44418505942275044,0.19480519480519481,0.0,0.027777777777777776,0.0741943241943242,0.11538461538461539,0.11538461538461539,0.007775818730366299,0.007775818730366299,0.7804878048780488,0.1851851851851849,0.9343915343915344,0.6333548414849227,0.03855195328797228,0.014091449899529245,0.04866250033451731,0.05089618803824993,0.012032255793160817,0.02344425789846098,0.00125180250042,0.0030575764038723277,19.19879841561829,2,Moderate
26,4,0,45,29,18,1,66,5,22,124,22,11,25,4.408,181.52,64.4690681580598,ChIJQ1Uw7b8Z6zkR-fjNfHeUMgQ,27.6863705,85.3423227,Baneshwor,restaurant,restaurant,1,0.6407766990291263,0.7848101265822784,0.2736842105263158,0.5664236787125735,0.36363636363636365,0.21739130434782608,0.29051383399209485,0.453125,0.36666666666666664,0.40989583333333335,0.5806451612903226,0.5921052631578947,0.5863752122241086,0.2857142857142857,0.0,0.027777777777777776,0.10449735449735449,0.10576923076923077,0.10576923076923077,0.01493971723874781,0.01493971723874781,0.7967479674796748,0.1479999999999999,0.8771972789115646,0.6073150821304131,0.052443710286776524,0.04707825307342725,0.040828771602628065,0.06718880437156452,0.016946564480156804,0.021490569740255896,0.0024050940542117423,0.0029318671670435794,25.13136347760644,2,Moderate
56,6,2,65,48,12,1,64,9,16,71,28,10,45,4.293333333333332,171.24444444444444,47.80877413864404,ChIJiwBJWG4Z6zkRxWAyrzZaK4U,27.6881305,85.3340005,Baneshwor,restaurant,restaurant,1,0.6213592233009708,0.44936708860759494,0.5894736842105263,0.553399998706364,0.5454545454545454,0.391304347826087,0.46837944664031617,0.75,0.4666666666666667,0.6083333333333334,0.3870967741935484,0.8552631578947368,0.6211799660441426,0.2077922077922078,0.2857142857142857,0.027777777777777776,0.17376142376142376,0.09615384615384616,0.09615384615384616,0.011078949759462386,0.011078949759462386,0.6341463414634146,0.17666666666666697,0.8841874527588812,0.5650001536296543,0.0512378812814183,0.07590167332246434,0.0605946699261367,0.07117684777255497,0.028179270050433355,0.019536881582050816,0.0017835622835139387,0.0027275881145425738,31.1138374333115,0,High
32,0,1,49,30,7,1,90,8,16,90,24,14,25,4.303999999999999,186.76,256.9795336784029,ChIJl_lo45kZ6zkRmA7XMScQoJA,27.6856663,85.33048570000001,Baneshwor,restaurant,restaurant,1,0.8737864077669902,0.569620253164557,0.3368421052631579,0.5934162553982351,0.0,0.34782608695652173,0.17391304347826086,0.46875,0.4,0.434375,0.22580645161290322,0.6447368421052632,0.4352716468590832,0.2077922077922078,0.14285714285714285,0.027777777777777776,0.12614237614237614,0.1346153846153846,0.1346153846153846,0.059551063463302745,0.059551063463302745,0.7967479674796748,0.17400000000000015,0.8736326530612245,0.6147935401802999,0.05494288347602938,0.02818289979905849,0.04326708451917637,0.049874859850191404,0.020456784970868228,0.027351634214871138,0.009586922320464228,0.0029679700834072927,23.663103923406656,2,Moderate
22,2,0,31,25,4,1,72,10,13,67,21,10,22,4.472727272727273,41.59090909090909,11.652110409892927,ChIJU16JVQAZ6zkRbixPQkCWeeA,27.692385,85.32963900000001,Baneshwor,fast_food_restaurant,restaurant,1,0.6990291262135923,0.4240506329113924,0.23157894736842105,0.4515529021644686,0.18181818181818182,0.43478260869565216,0.308300395256917,0.390625,0.35,0.3703125,0.12903225806451613,0.40789473684210525,0.26846349745331066,0.16883116883116883,0.0,0.027777777777777776,0.06553631553631555,0.09615384615384616,0.09615384615384616,0.0027001977806112762,0.0027001977806112762,0.8211382113821138,0.13181818181818183,0.972387136672851,0.6417811766243823,0.04180812079412256,0.04996059509833096,0.036885967737571225,0.030761432330810395,0.010628167596876249,0.019536881582050816,0.0004346956186359686,0.0030982552805556207,19.31141160389538,2,Moderate
9,3,0,32,10,13,1,53,4,15,65,23,16,7,4.342857142857143,72.57142857142857,149.3835079346105,ChIJzXwsDQAZ6zkR45Tf2u0R-2s,27.6985325,85.34750729999999,Baneshwor,restaurant,restaurant,1,0.5145631067961165,0.41139240506329117,0.09473684210526316,0.34023078465489026,0.2727272727272727,0.17391304347826086,0.22332015810276679,0.15625,0.38333333333333336,0.26979166666666665,0.41935483870967744,0.42105263157894735,0.4202037351443124,0.19480519480519481,0.0,0.027777777777777776,0.0741943241943242,0.15384615384615385,0.15384615384615385,0.034617335606646454,0.034617335606646454,0.943089430894309,0.16428571428571415,0.9513119533527696,0.6862290328442642,0.03150109250665343,0.03618940542379102,0.026873321080255825,0.04814832886561628,0.012032255793160817,0.03125901053128131,0.005572926629712852,0.003312831229895476,19.488917206036696,2,Moderate
33,1,1,35,28,9,1,72,4,21,74,41,9,32,4.3375,118.15625,26.95268158892848,ChIJaQ7iRAcZ6zkRa8Q9aF7u9UE,27.6947152,85.33714719999999,Baneshwor,barbecue_restaurant,restaurant,1,0.6990291262135923,0.46835443037974683,0.3473684210526316,0.5049173258819902,0.09090909090909091,0.17391304347826086,0.1324110671936759,0.4375,0.6833333333333333,0.5604166666666667,0.2903225806451613,0.4605263157894737,0.37542444821731746,0.2727272727272727,0.14285714285714285,0.027777777777777776,0.14778739778739777,0.08653846153846154,0.08653846153846154,0.006245870357197881,0.006245870357197881,0.7398373983739838,0.1656249999999999,0.9203018707482993,0.6085880897074277,0.04674899541190602,0.02145743507428317,0.05582180208948894,0.04301737058751272,0.023967005461579646,0.017583193423845733,0.0010055013371011482,0.002938012723490744,21.253931610920812,2,Moderate
16,1,0,30,17,8,1,89,3,27,97,18,33,15,4.319999999999999,108.86666666666666,115.5995227489194,ChIJhY44foAZ6zkRnK2N8ZZeSpw,27.6819269,85.3338828,Baneshwor,restaurant,restaurant,1,0.8640776699029126,0.6139240506329114,0.16842105263157894,0.548807591055801,0.09090909090909091,0.13043478260869565,0.11067193675889328,0.265625,0.3,0.2828125,0.25806451612903225,0.39473684210526316,0.3264006791171477,0.35064935064935066,0.0,0.027777777777777776,0.12614237614237614,0.3173076923076923,0.3173076923076923,0.026788415470328796,0.026788415470328796,0.8780487804878049,0.17000000000000015,0.9266213151927438,0.6582233652268497,0.05081268207913156,0.017934572599400858,0.028170296035866633,0.03740006555319082,0.020456784970868228,0.06447170922076768,0.004312575515307532,0.0031776313973956773,22.6736317371929,2,Moderate
51,6,2,60,46,17,1,76,11,13,81,28,9,39,4.258974358974358,198.3846153846154,21.32632486121644,ChIJUYaFdQAZ6zkRdiX3RNcV6oo,27.6868592,85.33516879999999,Baneshwor,restaurant,restaurant,1,0.7378640776699029,0.5126582278481012,0.5368421052631579,0.595788136927054,0.5454545454545454,0.4782608695652174,0.5118577075098814,0.71875,0.4666666666666667,0.5927083333333334,0.5483870967741935,0.7894736842105263,0.6689303904923599,0.16883116883116883,0.2857142857142857,0.027777777777777776,0.16077441077441076,0.08653846153846154,0.08653846153846154,0.00494204852452826,0.00494204852452826,0.6829268292682927,0.1852564102564105,0.865724751439037,0.5779693303212468,0.055162489880928735,0.08294739827222895,0.059038299979403734,0.07664824878001136,0.0260731377560065,0.017583193423845733,0.0007956035132405946,0.0027901979598180804,32.10385695654837,0,High
